feature,n,mean,median,std,min,max,skewness,kurtosis,pct_zero,p01,p05,p25,p75,p95,p99,distribution_type,transform_rec
gpr_global,492,102.86333791996405,92.5978012084961,47.543339245549205,39.045623779296875,512.5297241210938,4.139164883382893,26.41059241692539,0.0,46.39351207733154,57.301164627075195,79.70136833190918,112.72666931152344,163.60357513427735,320.7912051391597,heavy-tailed,log1p
gpr_threats,492,105.63444067792194,95.78084564208984,44.830552280752485,36.68563461303711,403.713623046875,2.7573558678104297,11.789713185374449,0.0,47.32762924194336,58.73231830596924,79.27458763122559,121.54952239990236,172.54505233764647,298.90594238281193,heavy-tailed,log1p
gpr_acts,492,100.58894346981513,84.80536651611328,73.19214191637505,28.454627990722656,854.074951171875,5.793803796486386,48.77357608009386,0.0,35.78090496063233,44.08818130493164,67.92365646362305,109.30311584472658,188.9011260986328,433.6956445312487,heavy-tailed,log1p
gpr_country,21648,0.22171944207988517,0.06768490746617314,0.49300307237374447,0.0,13.229009628295898,7.0239719893905725,93.17822544834466,1.2564671101256468,0.0,0.0077014900743961,0.0277824085205793,0.193096786737442,0.9631728112697594,2.4535787773132296,heavy-tailed,log1p
tone_mean,114110,3.123991866338656,4.42331996729613,3.159566001126762,-14.4927536231884,19.4805194805195,-0.6474951245857857,-0.6967896196598273,0.07361318026465691,-3.8732858499454963,-2.4036417627915267,0.0,5.472000770424989,6.6825062379436195,8.16971993940703,normal-ish,raw
tone_min,114110,-4.625313635567403,0.0,8.883903160587188,-77.8985507246376,19.4805194805195,-1.202531530689989,0.4302524864947088,32.82359127158006,-28.5714285714286,-22.5806451612903,-10.653036663466924,0.72992700729927,3.7593984962406,6.55737704918033,normal-ish,raw
tone_max,114110,12.262470906317418,12.28620185275475,4.672841645672804,-14.4927536231884,80.2215189873418,0.103067335300168,1.283485308466632,0.09727455963543949,1.176887447892539,4.61095100864553,9.21052631578947,15.3061224489796,19.7916666666667,23.4848484848485,normal-ish,raw
tone_std,112556,2.5502484977810074,2.4332829025920257,0.9800132891119102,0.0,11.24942606433143,0.021019360684779484,0.5627060820711596,2.117168342869327,0.0,0.965504920232358,2.005173790285281,3.229560230328281,4.172626053547134,4.75357774221128,normal-ish,raw
event_count,114110,9818.238121111208,710.0,64627.99808692409,1.0,2349045.0,21.878555132718454,581.5521248141066,0.0,1.0,5.0,101.0,3714.0,35506.74999999994,144518.65000000075,heavy-tailed,log1p
total_articles,114110,60150.11903426518,3398.0,384136.03808936384,1.0,17359960.0,21.815119765355057,592.7722272727992,0.0,5.0,22.0,456.0,21084.75,229464.09999999998,896323.9300000046,heavy-tailed,log1p
hostile_event_count,114110,1052.0814477258784,49.0,6961.9798599500145,0.0,284088.0,19.808764965704356,496.4428444167141,12.835860134957496,0.0,0.0,5.0,318.0,3749.5499999999884,16637.650000000052,heavy-tailed,log1p
cooperative_event_count,114110,1348.4152309175356,104.0,8523.611539898351,0.0,306843.0,21.157290472112606,547.6228650819838,7.6356147576899485,0.0,0.0,14.0,530.0,4937.0,19671.550000000017,heavy-tailed,log1p
goldstein_mean,114110,1.0075358666560792,1.0885480525637885,1.4890844919360022,-10.0,10.0,-1.089432750114452,8.815900054130571,0.29357637367452455,-3.966666666666667,-1.2999999999999996,0.42245766932270934,1.720418448234447,3.0,5.0,heavy-tailed,raw
goldstein_min,114110,-8.821990184909506,-10.0,3.0358451051469992,-10.0,10.0,2.825991311305152,7.602091581901389,1.5686618175444744,-10.0,-10.0,-10.0,-10.0,-0.4,3.4,heavy-tailed,raw
vix_mean,432,19.461194964378016,17.68528643709869,7.415022613863248,10.125454512509434,62.639473362972865,2.0448195766626256,7.050473496235809,0.0,10.521956677581322,11.655477153736612,14.083095255352202,22.97925870449512,32.00353165099495,45.330253902964614,heavy-tailed,log1p
vix_vol,432,1.897547091432548,1.4238905504097512,1.5450514995295266,0.3028954716183843,14.560763132802007,3.170496788051151,15.632677288883539,0.0,0.4284205968839683,0.589735039335001,0.9837856800926867,2.3208647900874215,4.707818875991337,8.319085032487424,heavy-tailed,log1p
vix_close,432,19.4938194376451,17.494999885559082,7.411088995557446,9.510000228881836,59.88999938964844,1.728853979776164,4.59306732854537,0.0,10.472700099945067,11.56999969482422,13.81749987602234,23.38499927520752,32.32649955749511,44.666399726867674,normal-ish,raw
vix_pct_chg,431,1.9360439282878326,-1.1933144166426437,21.681063299015236,-45.89689782440855,134.57096182855562,1.4904909046097026,5.181490439172631,0.0,-36.33449015118595,-27.43976120069916,-11.089758457405757,10.818439526176915,41.74272489927144,72.78156200478698,heavy-tailed,raw
brent_oil_mean,222,78.11661063790399,75.44297836967137,23.72390704052663,26.63142867315383,134.0995452187278,0.19317547514736869,-0.811822432906137,0.0,32.529105175018316,43.24862883555424,61.77845050273329,97.5022306856902,114.6427822030468,124.51019099842418,normal-ish,raw
brent_oil_vol,222,2.4214466226414904,2.038669937608754,1.410565811469044,0.4519731397847592,10.568144434804394,2.244617279686507,8.506927661001841,0.0,0.5286481357894413,0.947998158338731,1.4922215604643274,3.04896954736024,4.81866866835608,7.683144178976077,heavy-tailed,log1p
brent_oil_close,222,78.42004517391996,75.18499755859375,23.901864416560308,22.739999771118164,139.8300018310547,0.17943784469823038,-0.7602134554778952,0.0,34.863901710510255,43.3654993057251,61.499999046325684,99.61749839782715,115.51500282287596,125.4889002227783,normal-ish,raw
brent_oil_pct_chg,221,0.41286448941390325,1.0205369848142576,9.775009388043443,-54.9881243763457,39.81005615771682,-0.65524973524114,5.543168864383286,0.0,-21.425447081946686,-14.769118111766987,-4.735704747195801,5.868660566454009,14.475179170798413,25.185677045563143,heavy-tailed,raw
wti_oil_mean,305,64.4818351195169,63.53380911690848,24.509834232783128,16.699047678992862,134.01571437290735,0.1928139889917291,-0.610678609489665,0.0,19.788234542043586,27.36283639785419,46.289545405994765,81.3208697775136,103.68024800255186,116.59413286481578,normal-ish,raw
wti_oil_vol,305,2.2561591183576755,1.879758694767476,1.5175489563435867,0.5240716019898319,13.378191763117051,2.975704327764366,14.578433290288928,0.0,0.5345989716918536,0.8208305652617884,1.3469287526185632,2.648518356922862,5.004653829746805,8.120792290298612,heavy-tailed,log1p
wti_oil_close,305,64.68695090246982,64.7300033569336,24.56973607754929,18.84000015258789,140.0,0.17453471040915455,-0.6059042003641375,0.0,19.865600128173828,26.866000366210937,47.119998931884766,81.54000091552734,102.95799713134765,115.42839904785154,normal-ish,raw
wti_oil_pct_chg,304,0.7487816231623675,1.313111048087745,10.746247812130745,-54.24486079039064,88.37580356172043,1.2330664540836576,15.91944178357508,0.0,-20.807638297629932,-15.033282864971126,-5.599403562672417,6.928443314532617,14.460407031188556,25.1162949103101,heavy-tailed,raw
gold_mean,305,1245.9338560356416,1244.0619012741815,729.8926054228915,261.07999725341796,4311.059104225852,1.055744111163654,2.1819729855079184,0.0,265.3915693533761,282.0737453926671,634.394730417352,1675.6590964577415,2551.7459841086657,3669.9177046130885,normal-ish,raw
gold_vol,305,22.604500573617074,17.611690010526946,19.240630305968747,1.6293840993829405,137.09449019446168,2.316965815778925,7.997131683893965,0.0,1.9311836469513415,3.3649981067403703,10.35423224337153,29.758348767919788,62.62518776739264,95.66258323906109,heavy-tailed,log1p
gold_close,305,1250.1495070160413,1247.300048828125,735.336725139342,257.8999938964844,4325.60009765625,1.0982800063323537,2.328891431242947,0.0,265.31198852539063,280.02000122070314,648.0999755859375,1674.800048828125,2602.1199707031265,3826.1160449218673,normal-ish,raw
gold_pct_chg,304,1.0150031307792886,0.8855940236562332,4.674232402172127,-18.005035714502647,13.86719114213657,-0.07701082283392668,0.6218970637094006,0.0,-10.269129663665337,-5.852101499200816,-2.004544385278545,3.886701498294198,8.392301839377813,12.00022144631992,heavy-tailed,raw
dxy_mean,492,94.47600786614781,93.96912341922909,12.770017748112918,72.11681851473722,158.49055565728082,1.5418108012754166,4.858831694453522,0.0,74.14139200767374,77.8445410364007,85.8030685078014,99.87242477818539,115.95266744770528,147.8838123349276,normal-ish,raw
dxy_vol,492,0.8573693791438898,0.7402239088628195,0.5275735419850901,0.1761009160746315,4.467297939320772,2.431525748803038,9.902465353000807,0.0,0.2514260089004175,0.3353297626905453,0.4982537979433978,1.0638763396111897,1.7383358504698896,2.7705397964599,heavy-tailed,log1p
dxy_close,492,94.37630057916408,93.71000289916992,12.617749209675004,71.80000305175781,160.41000366210938,1.4212474599857972,4.35232266092345,0.0,73.20300308227539,77.80599937438964,85.84750175476074,99.76000022888184,115.97599792480467,146.27659561157222,normal-ish,raw
dxy_pct_chg,492,-0.058633213805803046,-0.1198760328144865,2.424072804334082,-7.000817112368651,9.443380874284312,0.2453481199116053,0.5998506290735222,0.40650406504065045,-5.304228277007026,-4.027615620515403,-1.6003443016690821,1.4530075578403245,4.075312676902589,5.760518244195228,normal-ish,raw
us_10y_yield_mean,492,4.79827059160663,4.429857129142398,2.3871918541451067,0.6154545491391962,11.855238051641557,0.4754189995307927,-0.49791857745116497,0.0,0.7190503632074052,1.6124432135054043,2.8270083844091336,6.482238094011943,8.969089295523506,10.415787381829245,normal-ish,raw
us_10y_yield_vol,492,0.10153570911777518,0.08904038233676334,0.05416799618348031,0.0184974517216555,0.4938622056004285,2.0630789497168536,7.766737880867232,0.0,0.031046686988748195,0.04455033071345625,0.06363277018429965,0.12403114895259701,0.19999254500175184,0.30848229972487534,bounded,raw (bounded index)
us_10y_yield_close,492,4.776823166666961,4.434999942779541,2.3855859869111176,0.5360000133514404,11.90999984741211,0.4651157195234189,-0.5120173069966207,0.0,0.6915600156784057,1.5597500383853913,2.74700003862381,6.430499911308289,8.99449987411499,10.33340035438537,normal-ish,raw
us_10y_yield_pct_chg,492,0.11912087296876436,-0.2244877636620401,8.08307507701996,-38.06565840497967,33.5773070022966,0.32572705813404423,3.3864171187028447,0.6097560975609756,-22.92817398871696,-11.172088409904813,-4.140803485058409,3.7155206054442393,13.04313056493922,26.833581406583235,normal-ish,raw
wheat_mean,306,536.3066573124217,517.5526315789473,178.66034421137718,240.2391304347826,1140.928571428571,0.6431999014459621,0.41269183539836796,0.0,258.29375000000005,274.5111607142857,404.20258152173915,650.2397727272728,859.6190476190477,1066.065625,normal-ish,raw
wheat_vol,306,18.699605583528466,14.641992086565356,14.003565715912341,1.9164360862620209,110.87966739800623,2.4629599039446157,9.319223276479127,0.0,3.8224842168577635,5.784884839769422,10.012700168802436,23.229648689419488,44.26608661770253,71.088352512313,heavy-tailed,log1p
wheat_close,306,535.0204248366013,519.625,176.04049980973568,244.75,1087.5,0.5298909267735413,-0.023930696845564814,0.0,252.55,275.0,407.8125,649.8125,866.375,1002.6499999999992,normal-ish,raw
wheat_pct_chg,305,0.6170684175080581,0.1294079585894447,8.820371397185632,-25.247682965803776,42.33458848843463,0.49704097304674416,1.6491008247140067,0.32786885245901637,-19.733086406792864,-12.699910808223319,-5.36585365853659,5.796252927400469,15.482047746403113,22.13570604712473,heavy-tailed,raw
copper_mean,305,2.8325260062511197,3.0569545464082197,1.1752050642675735,0.6320434834646143,5.428652162137239,-0.36403100893350504,-0.7084007972803903,0.0,0.6735585240851278,0.7268803012835515,2.137523810068766,3.676833345776513,4.50001580589696,5.015282885137952,normal-ish,raw
copper_vol,305,0.07453386583784068,0.0625494359285098,0.05627732740175013,0.0,0.345491164205419,1.9250973595306358,5.352412037371893,0.32786885245901637,0.007066713239193028,0.01219240613786344,0.0372447847777092,0.0978561844891536,0.18049287977400724,0.2950802745853854,bounded,raw (bounded index)
copper_close,305,2.8387524610660115,3.0409998893737793,1.175407793282665,0.621999979019165,5.630000114440918,-0.3665067646820257,-0.701322750144735,0.0,0.6607000255584716,0.73089998960495,2.128499984741211,3.6535000801086426,4.4802001953125,5.029600200653076,normal-ish,raw
copper_pct_chg,304,0.8819445086705664,0.5834646303633173,7.34628225346907,-36.14958536796787,34.06350942194225,-0.03870619439295279,3.0568329225112985,0.0,-14.069491878393265,-9.727782523159874,-3.7976074928089574,5.249117945102888,13.423540118747734,17.485878234050503,heavy-tailed,raw
us_13w_tbill_mean,492,3.2008060326735133,3.3007894437973233,2.495380395714959,0.0064285712848816,8.815454483032227,0.16709169262847018,-1.1812828010498106,0.0,0.008123642849303484,0.021699999941379815,0.4952148862005699,5.141738651557402,7.542749980517795,8.281046388149257,normal-ish,raw
us_13w_tbill_vol,492,0.06248062838809238,0.042298248785159656,0.07431585338511325,0.0025567248750224,0.7510082033812522,3.950753399173511,24.554495259470016,0.0,0.003769794704129175,0.00636806400128076,0.017364976713599125,0.0806112106634616,0.17599734160747177,0.3498882242663864,bounded,raw (bounded index)
us_13w_tbill_close,492,3.195150410275664,3.3459999561309814,2.4933228441973747,0.003000000026077,8.899999618530273,0.1705309345281304,-1.1723217836512905,0.0,0.0049999998882412,0.0199999995529651,0.48974999785423273,5.157249927520752,7.434999823570251,8.391800298690795,normal-ish,raw
us_13w_tbill_pct_chg,492,13.756978586178276,0.0,99.37826073054572,-97.56097570209424,1260.0001043081306,7.917252393946181,77.70614382475797,3.4552845528455287,-83.40476290134038,-34.936048131182226,-3.5443491770213384,4.399928017892229,65.27043873002704,481.79999996274654,heavy-tailed,raw
